BGGId,Rating_2025
146439,7.05583
172081,7.08274
293014,7.27005
139976,7.15352
234,7.02604
246784,7.16656
187617,7.09899
209685,7.11057
46213,7.14394
231733,7.70965
140068,6.97729
274637,7.2174
40692,7.08935
227789,7.10531
101721,7.01803
140934,7.06941
172818,7.07786
136888,7.10597
54,7.11178
45315,7.0649
77130,7.07045
163967,7.10358
181304,7.05546
143693,7.1069
295486,7.25463
59959,7.06714
5,7.12823
129622,7.12375
25292,7.08032
324856,7.81217
41114,7.04905
21241,7.08002
37046,7.04958
2653,7.11715
39856,7.07232
223040,7.24534
176920,7.0708
163745,7.0408
70919,7.06155
119890,7.04957
257499,7.13928
219513,7.07448
234487,7.03322
182134,6.98136
199042,7.0606
17392,6.97327
302723,7.15346
184921,7.10825
192458,7.03125
172,7.1373
8217,7.05635
25554,7.03692
1,6.99531
39683,7.02678
260605,7.25199
24480,7.03714
156546,7.19715
250458,7.02622
33160,6.99899
90137,7.05026
230253,7.18418
50,7.14884
246192,7.07328
9217,7.02308
186751,6.97717
31594,7.00614
204305,6.96638
144592,6.99062
234277,7.10479
170771,6.97499
188866,7.10002
21348,7.00132
265736,6.9945
256226,6.99793
70323,7.01389
63888,7.10182
36932,6.95371
40765,6.9607
297030,7.06881
154809,6.96658
300322,7.21218
245934,7.05341
121,6.95068
71,6.98456
236191,7.00901
54625,6.97059
243,6.94792
198773,7.00219
166669,6.99194
195539,7.04471
244711,7.03646
155987,7.06112
40354,7.06381
124708,6.95978
260428,7.0366
300531,7.3081
194594,7.00926
161614,6.96212
244271,7.15824
15987,7.01924
63628,6.95107
128271,7.06722
66188,6.97452
55670,6.96664
227224,7.33244
197376,6.89749
215311,7.00378
138161,6.9929
269210,7.03913
229220,6.97768
294484,7.37606
47,7.11085
270633,7.19123
151347,6.98485
215341,6.95187
100901,6.97188
267367,6.9753
15985,6.87272
111341,7.13418
79828,6.9409
128671,6.99882
274960,6.92745
304420,7.07834
96913,6.94848
66362,6.94206
176396,6.94277
34219,6.99272
27162,6.96805
11170,6.94872
192153,6.95912
105134,6.90098
18833,6.96655
92415,7.01422
270844,6.93257
150658,6.91439
25417,6.91707
137408,6.91886
62222,6.96586
251658,6.97263
372,7.06407
5404,6.92388
230914,7.14013
157969,6.91437
150,6.97011
146791,6.89156
128996,6.88353
17226,6.9037
83330,6.91171
712,6.90171
194607,6.93311
136063,6.91692
262543,6.98076
177639,6.89206
123123,6.81022
62227,6.88741
162082,6.91686
95527,6.85349
245655,7.1031
158899,6.95369
233312,6.92431
98778,6.92414
285967,7.28081
144189,6.95217
226522,6.92047
256730,6.93994
13,6.9066
478,6.93298
298047,7.1758
15062,6.92812
43570,6.93033
20437,6.92315
65781,6.86085
105551,6.85357
127398,6.86327
171,7.03238
206941,6.8638
119506,6.87375
191862,6.90273
97786,6.88309
156858,6.97284
133848,6.85794
193042,6.91806
240196,6.91533
221965,6.86187
102652,6.85589
171668,6.87363
255668,7.28902
875,6.83348
36553,6.84625
246684,7.0512
205398,6.94785
144797,6.89259
147949,6.85967
58421,6.83227
328871,7.3779
125618,6.87293
21790,6.91084
202426,7.09244
9674,6.89346
180974,6.92645
90419,6.86823
264241,6.95732
142379,6.88698
163968,6.86493
232043,6.84483
31999,6.88705
232414,6.90207
11,6.95872
245654,6.89961
12942,6.9537
45358,6.8206
42052,6.83407
34119,6.85132
18,6.87688
27173,6.85953
269144,6.94142
156009,6.89598
262215,6.87689
133473,6.87538
181530,6.88026
17405,6.87573
213460,6.85289
133038,6.83942
192836,6.81782
97842,6.86484
150145,7.19905
31730,6.87653
475,6.85321
218603,6.77391
128780,6.83452
