BGGId,Name,Rating_2021,Rating_2025,rating_change
104162,Descent: Journeys in the Dark (Second Edition),7.41914,7.32504,-0.09409999999999918
244522,That's Pretty Clever!,7.40935,7.367,-0.04234999999999989
9609,War of the Ring,7.40822,7.34176,-0.06646000000000019
77423,The Lord of the Rings: The Card Game,7.40752,7.38717,-0.020349999999999646
43111,Chaos in the Old World,7.4073,7.34318,-0.06411999999999995
284378,Kanban EV,7.40516,7.78857,0.3834099999999996
287954,Azul: Summer Pavilion,7.40192,7.30455,-0.09736999999999973
150376,Dead of Winter: A Crossroads Game,7.39702,7.27863,-0.11839000000000066
82222,Xia: Legends of a Drift System,7.39243,7.37118,-0.021250000000000213
54043,Jaipur,7.39067,7.36425,-0.026419999999999888
220877,Rajas of the Ganges,7.38786,7.41603,0.02817000000000025
17133,Railways of the World,7.38635,7.30379,-0.08255999999999997
128882,The Resistance: Avalon,7.38511,7.30772,-0.07739000000000029
10630,Memoir '44,7.384,7.33483,-0.04917000000000016
217372,The Quest for El Dorado,7.38388,7.52544,0.14155999999999924
254640,Just One,7.38166,7.43996,0.05830000000000002
155426,Castles of Mad King Ludwig,7.37988,7.31487,-0.06501000000000001
221194,Dinosaur Island,7.37936,7.23806,-0.1413000000000002
70149,Ora et Labora,7.37753,7.29673,-0.08079999999999998
103343,A Game of Thrones: The Board Game (Second Edition),7.37589,7.30673,-0.06916000000000011
283948,Marco Polo II: In the Service of the Khan,7.37081,7.36678,-0.004029999999999312
463,Magic: The Gathering,7.36873,7.40932,0.040589999999999904
39463,Cosmic Encounter,7.36761,7.31866,-0.048949999999999605
188920,This War of Mine: The Board Game,7.36663,7.3431,-0.02353000000000005
282524,Horrified,7.36591,7.30414,-0.0617700000000001
199561,Sagrada,7.36551,7.32567,-0.039839999999999876
14105,Commands & Colors: Ancients,7.35845,7.28384,-0.07461000000000073
25021,Sekigahara: The Unification of Japan,7.35434,7.31864,-0.0356999999999994
123260,Suburbia,7.35381,7.28577,-0.06803999999999988
31627,Ticket to Ride: Nordic Countries,7.3521,7.30213,-0.04997000000000007
195421,Near and Far,7.35031,7.24417,-0.1061399999999999
223321,Detective: A Modern Crime Board Game,7.34672,7.17542,-0.17130000000000045
104006,Village,7.34447,7.28681,-0.05766000000000027
21050,Combat Commander: Europe,7.34365,7.23908,-0.10456999999999983
256916,Concordia Venus,7.34147,7.57722,0.23574999999999946
171131,Captain Sonar,7.34139,7.29223,-0.04915999999999965
126042,Nations,7.34134,7.25234,-0.08899999999999952
239188,Chronicles of Crime,7.34123,7.16593,-0.1753
296151,Viscounts of the West Kingdom,7.33972,7.37387,0.03415000000000035
91,Paths of Glory,7.33726,7.26063,-0.07662999999999975
265188,Glen More II: Chronicles,7.33528,7.37251,0.037230000000000096
224037,Codenames: Duet,7.33394,7.24023,-0.09370999999999974
182631,Star Realms: Colony Wars,7.33208,7.26393,-0.06815000000000015
154597,Hive Pocket,7.3299,7.34182,0.01191999999999993
245638,Coimbra,7.32855,7.26167,-0.06688000000000027
283155,Calico,7.32854,7.25322,-0.0753200000000005
146508,T.I.M.E Stories,7.32578,7.15378,-0.1719999999999997
148228,Splendor,7.32269,7.29207,-0.03061999999999987
215,Tichu,7.31833,7.27916,-0.03916999999999948
188,Go,7.31794,7.30889,-0.009050000000000225
146886,La Granja,7.31767,7.23781,-0.07986000000000004
308765,Praga Caput Regni,7.31664,7.38189,0.0652500000000007
189932,Tyrants of the Underdark,7.31657,7.4161,0.09953000000000056
12,Ra,7.31019,7.52496,0.21476999999999968
822,Carcassonne,7.3089,7.29575,-0.013150000000000439
9209,Ticket to Ride,7.30689,7.26418,-0.04271000000000047
317985,Beyond the Sun,7.30683,7.5667,0.25987000000000027
194655,Santorini,7.30137,7.20103,-0.1003400000000001
176189,Zombicide: Black Plague,7.29998,7.22059,-0.07939000000000007
109276,Kanban: Driver's Edition,7.29946,7.19917,-0.10029000000000021
129437,Legendary: A Marvel Deck Building Game,7.2994,7.23064,-0.06876000000000015
54998,Cyclades,7.29923,7.24892,-0.05030999999999963
249259,War Chest,7.29172,7.38866,0.09694000000000003
242302,Space Base,7.29101,7.3201,0.02909000000000006
188834,Secret Hitler,7.29005,7.25684,-0.03320999999999952
9216,Goa,7.28798,7.19883,-0.08915000000000006
555,The Princes of Florence,7.28771,7.2115,-0.07620999999999967
7854,YINSH,7.28764,7.26671,-0.020929999999999893
156129,Deception: Murder in Hong Kong,7.28512,7.22242,-0.06270000000000042
192291,Sushi Go Party!,7.28084,7.22192,-0.05892000000000053
169426,Roll Player,7.28052,7.21218,-0.06834000000000007
232832,Century: Golem Edition,7.27852,7.23358,-0.044940000000000424
268864,Undaunted: Normandy,7.27628,7.39548,0.1192000000000002
155068,Arcadia Quest,7.27525,7.13597,-0.1392799999999994
31481,Galaxy Trucker,7.26886,7.18938,-0.07948000000000022
128621,Viticulture,7.26674,7.18495,-0.0817900000000007
209418,Dominion (Second Edition),7.26619,7.3941,0.12790999999999997
27833,Steam,7.26595,7.16515,-0.10080000000000044
158600,Hanamikoji,7.26592,7.22823,-0.037690000000000445
20551,Shogun,7.26591,7.19269,-0.07322000000000006
199478,Flamme Rouge,7.26497,7.2198,-0.04516999999999971
198994,Hero Realms,7.26241,7.20257,-0.05984000000000034
176494,Isle of Skye: From Chieftain to King,7.26239,7.21731,-0.045079999999999565
421,1830: Railways & Robber Barons,7.25967,7.19347,-0.06620000000000026
27708,1960: The Making of the President,7.25478,7.17806,-0.0767199999999999
19857,Glory to Rome,7.25437,7.21587,-0.03849999999999998
140620,Lewis & Clark: The Expedition,7.25113,7.17861,-0.07251999999999992
118,Modern Art,7.24916,7.3265,0.07734000000000041
228341,Pulsar 2849,7.24347,7.20458,-0.03889000000000031
283355,Dune,7.24299,7.35096,0.1079699999999999
127060,Bora Bora,7.2406,7.17669,-0.06390999999999991
3,Samurai,7.23994,7.22504,-0.014899999999999913
155873,Power Grid Deluxe: Europe/North America,7.23921,7.10794,-0.13126999999999978
